student_id,home_lat,home_lon,target_arrival_time,class_dismissal_time,has_car,seats_available
STU-0039,36.160195,-85.507977,10:30,16:00,True,3
STU-0040,36.165712,-85.509044,08:30,14:15,False,0
STU-0041,36.167671,-85.514301,09:30,14:15,False,0
STU-0042,36.16562,-85.509873,08:30,12:45,True,2
STU-0043,36.164582,-85.509526,08:30,11:15,True,3
STU-0044,36.163911,-85.511571,08:30,12:45,True,2
STU-0045,36.159651,-85.508718,07:45,11:15,False,0
STU-0046,36.162396,-85.506201,08:30,11:15,True,2
STU-0047,36.163334,-85.499604,09:30,12:45,False,0
STU-0048,36.168824,-85.507223,07:45,11:15,True,2
STU-0049,36.166243,-85.506854,08:30,14:15,False,0
STU-0050,36.158622,-85.508331,10:30,12:45,True,2
STU-0051,36.166172,-85.516541,09:30,12:45,True,2
STU-0052,36.163607,-85.508118,07:45,11:15,False,0
STU-0053,36.162551,-85.507732,09:30,14:15,True,2
STU-0054,36.167213,-85.497035,08:30,11:15,True,3
STU-0055,36.16873,-85.508856,08:30,14:15,False,0
STU-0056,36.168369,-85.506658,08:30,16:00,False,0
STU-0057,36.161964,-85.508155,08:30,14:15,True,2
STU-0058,36.163881,-85.513202,08:30,12:45,False,0
STU-0059,36.166198,-85.502913,07:45,11:15,True,2
STU-0060,36.168529,-85.504653,07:45,16:00,False,0
STU-0061,36.147809,-85.497347,09:30,14:15,True,2
STU-0062,36.151731,-85.490891,10:30,11:15,True,2
STU-0063,36.137343,-85.501292,07:45,12:45,True,2
STU-0064,36.147368,-85.494956,07:45,11:15,False,0
STU-0065,36.150858,-85.499125,09:30,14:15,False,0
STU-0066,36.146358,-85.499211,08:30,12:45,False,0
STU-0067,36.159382,-85.491886,08:30,16:00,True,2
STU-0068,36.145533,-85.493407,10:30,11:15,False,0
STU-0069,36.15001,-85.493473,08:30,16:00,True,2
STU-0070,36.152591,-85.490736,08:30,16:00,True,3
STU-0071,36.158517,-85.497883,09:30,14:15,True,3
STU-0072,36.145507,-85.494205,09:30,14:15,False,0
STU-0073,36.15726,-85.499726,07:45,12:45,False,0
STU-0074,36.152046,-85.496196,10:30,12:45,False,0
STU-0075,36.147562,-85.498724,08:30,11:15,True,2
STU-0076,36.15409,-85.49746,08:30,14:15,True,2
STU-0077,36.1529,-85.494688,10:30,16:00,False,0
STU-0078,36.149286,-85.502553,08:30,12:45,False,0
STU-0079,36.152316,-85.486357,09:30,11:15,False,0
STU-0080,36.150258,-85.503598,09:30,16:00,False,0
STU-0081,36.152513,-85.504756,09:30,12:45,False,0
STU-0082,36.154994,-85.491556,10:30,11:15,True,2
STU-0083,36.159172,-85.493595,08:30,14:15,False,0
STU-0084,36.146403,-85.494527,08:30,14:15,True,2
STU-0085,36.161645,-85.494504,10:30,14:15,False,0
STU-0086,36.143173,-85.498068,08:30,12:45,True,2
STU-0087,36.151314,-85.502993,07:45,16:00,False,0
STU-0088,36.15466,-85.497578,10:30,16:00,True,2
STU-0089,36.153271,-85.501768,09:30,16:00,False,0
STU-0090,36.149184,-85.492574,08:30,12:45,True,3
STU-0091,36.151059,-85.498818,10:30,14:15,True,2
STU-0092,36.149771,-85.502593,09:30,14:15,True,2
STU-0093,36.149335,-85.499788,07:45,14:15,True,2
STU-0094,36.155842,-85.495702,09:30,12:45,False,0
STU-0095,36.153614,-85.501137,08:30,14:15,False,0
STU-0096,36.148867,-85.502575,08:30,11:15,True,2
STU-0097,36.156068,-85.496644,09:30,14:15,False,0
STU-0098,36.15339,-85.496637,08:30,11:15,True,2
STU-0099,36.155676,-85.500821,08:30,14:15,True,2
STU-0100,36.154847,-85.500621,08:30,16:00,True,2
STU-0101,36.148251,-85.496709,08:30,14:15,True,3
STU-0102,36.149467,-85.506058,09:30,16:00,False,0
STU-0103,36.155379,-85.505832,07:45,16:00,True,2
STU-0104,36.15476,-85.501998,08:30,12:45,False,0
STU-0105,36.151905,-85.499188,08:30,12:45,False,0
STU-0106,36.184333,-85.479315,08:30,12:45,False,0
STU-0107,36.184591,-85.491597,09:30,12:45,True,2
STU-0108,36.179024,-85.484809,08:30,12:45,True,2
STU-0109,36.187646,-85.478532,08:30,12:45,True,2
STU-0110,36.189055,-85.491492,10:30,11:15,True,2
STU-0111,36.183423,-85.484469,08:30,16:00,True,3
STU-0112,36.196151,-85.474825,08:30,16:00,False,0
STU-0113,36.183267,-85.501404,09:30,12:45,True,3
STU-0114,36.182576,-85.490412,09:30,16:00,True,3
STU-0115,36.182419,-85.49104,08:30,12:45,False,0
STU-0116,36.180575,-85.486248,08:30,12:45,True,2
STU-0117,36.181967,-85.485319,08:30,12:45,True,2
STU-0118,36.177218,-85.492086,09:30,12:45,True,2
STU-0119,36.183961,-85.489369,08:30,12:45,True,2
STU-0120,36.185312,-85.490163,07:45,12:45,True,3
STU-0121,36.172613,-85.487342,07:45,16:00,True,2
STU-0122,36.184447,-85.483543,09:30,12:45,False,0
STU-0123,36.185229,-85.47892,09:30,14:15,True,2
STU-0124,36.187792,-85.477953,08:30,12:45,False,0
STU-0125,36.191537,-85.480635,09:30,16:00,True,2
STU-0126,36.18962,-85.490836,09:30,16:00,True,2
STU-0127,36.181634,-85.485022,07:45,14:15,True,2
STU-0128,36.181004,-85.469146,09:30,11:15,False,0
STU-0129,36.188145,-85.478226,08:30,11:15,True,2
STU-0130,36.18203,-85.487941,09:30,14:15,True,2
STU-0131,36.178336,-85.474436,08:30,16:00,True,3
STU-0132,36.197883,-85.487591,09:30,12:45,True,3
STU-0133,36.183314,-85.489463,08:30,12:45,False,0
STU-0134,36.1816,-85.47568,08:30,12:45,False,0
STU-0135,36.173105,-85.493745,08:30,12:45,False,0
STU-0136,36.189995,-85.438815,10:30,14:15,True,2
STU-0137,36.216488,-85.459669,08:30,16:00,True,2
STU-0138,36.213735,-85.426932,08:30,12:45,False,0
STU-0139,36.222863,-85.414194,07:45,16:00,False,0
STU-0140,36.190221,-85.462371,08:30,14:15,False,0
STU-0141,36.200948,-85.461891,09:30,11:15,True,2
STU-0142,36.221517,-85.465376,09:30,12:45,False,0
STU-0143,36.238201,-85.423184,10:30,16:00,True,2
STU-0144,36.231839,-85.422914,07:45,16:00,False,0
STU-0145,36.211855,-85.411441,07:45,16:00,False,0
STU-0146,36.19898,-85.421939,08:30,14:15,True,2
STU-0147,36.21913,-85.495412,07:45,12:45,False,0
STU-0148,36.185324,-85.442183,07:45,12:45,True,2
STU-0149,36.191528,-85.479447,08:30,16:00,True,2
STU-0150,36.244135,-85.46427,08:30,14:15,True,2
